2025-01-20 21:03:04,480 Test: [28/60]	Model Time 0.044 (0.094)	Loss Time 0.000 (0.000)	Loss 0.2031 (0.1967)	Prec@1 81.250 (84.052)	Prec@3 100.000 (99.784)	
2025-01-20 21:03:04,529 Test: [29/60]	Model Time 0.040 (0.093)	Loss Time 0.000 (0.000)	Loss 0.1959 (0.1967)	Prec@1 84.375 (84.062)	Prec@3 100.000 (99.792)	
2025-01-20 21:03:04,581 Test: [30/60]	Model Time 0.042 (0.091)	Loss Time 0.000 (0.000)	Loss 0.2367 (0.1980)	Prec@1 71.875 (83.669)	Prec@3 100.000 (99.798)	
2025-01-20 21:03:04,630 Test: [31/60]	Model Time 0.040 (0.089)	Loss Time 0.000 (0.000)	Loss 0.1133 (0.1953)	Prec@1 90.625 (83.887)	Prec@3 100.000 (99.805)	
2025-01-20 21:03:04,682 Test: [32/60]	Model Time 0.043 (0.088)	Loss Time 0.000 (0.000)	Loss 0.1610 (0.1943)	Prec@1 84.375 (83.902)	Prec@3 100.000 (99.811)	
2025-01-20 21:03:04,729 Test: [33/60]	Model Time 0.038 (0.087)	Loss Time 0.000 (0.000)	Loss 0.1852 (0.1940)	Prec@1 90.625 (84.099)	Prec@3 100.000 (99.816)	
2025-01-20 21:03:04,783 Test: [34/60]	Model Time 0.044 (0.085)	Loss Time 0.000 (0.000)	Loss 0.1754 (0.1935)	Prec@1 84.375 (84.107)	Prec@3 100.000 (99.821)	
2025-01-20 21:03:04,833 Test: [35/60]	Model Time 0.041 (0.084)	Loss Time 0.000 (0.000)	Loss 0.1851 (0.1933)	Prec@1 84.375 (84.115)	Prec@3 100.000 (99.826)	
2025-01-20 21:03:04,886 Test: [36/60]	Model Time 0.044 (0.083)	Loss Time 0.000 (0.000)	Loss 0.1719 (0.1927)	Prec@1 81.250 (84.037)	Prec@3 100.000 (99.831)	
2025-01-20 21:03:04,936 Test: [37/60]	Model Time 0.040 (0.082)	Loss Time 0.000 (0.000)	Loss 0.0797 (0.1897)	Prec@1 96.875 (84.375)	Prec@3 100.000 (99.836)	
2025-01-20 21:03:04,990 Test: [38/60]	Model Time 0.044 (0.081)	Loss Time 0.000 (0.000)	Loss 0.1463 (0.1886)	Prec@1 90.625 (84.535)	Prec@3 100.000 (99.840)	
2025-01-20 21:03:05,044 Test: [39/60]	Model Time 0.044 (0.080)	Loss Time 0.000 (0.000)	Loss 0.1732 (0.1882)	Prec@1 84.375 (84.531)	Prec@3 100.000 (99.844)	
2025-01-20 21:03:05,098 Test: [40/60]	Model Time 0.046 (0.079)	Loss Time 0.000 (0.000)	Loss 0.1399 (0.1870)	Prec@1 90.625 (84.680)	Prec@3 100.000 (99.848)	
2025-01-20 21:03:05,146 Test: [41/60]	Model Time 0.037 (0.078)	Loss Time 0.000 (0.000)	Loss 0.2343 (0.1882)	Prec@1 81.250 (84.598)	Prec@3 100.000 (99.851)	
2025-01-20 21:03:05,199 Test: [42/60]	Model Time 0.043 (0.077)	Loss Time 0.000 (0.000)	Loss 0.1468 (0.1872)	Prec@1 87.500 (84.666)	Prec@3 100.000 (99.855)	
2025-01-20 21:03:05,247 Test: [43/60]	Model Time 0.039 (0.076)	Loss Time 0.000 (0.000)	Loss 0.2018 (0.1875)	Prec@1 78.125 (84.517)	Prec@3 100.000 (99.858)	
2025-01-20 21:03:05,301 Test: [44/60]	Model Time 0.045 (0.076)	Loss Time 0.000 (0.000)	Loss 0.1809 (0.1874)	Prec@1 81.250 (84.444)	Prec@3 100.000 (99.861)	
2025-01-20 21:03:05,350 Test: [45/60]	Model Time 0.040 (0.075)	Loss Time 0.000 (0.000)	Loss 0.1371 (0.1863)	Prec@1 90.625 (84.579)	Prec@3 100.000 (99.864)	
2025-01-20 21:03:05,405 Test: [46/60]	Model Time 0.045 (0.074)	Loss Time 0.000 (0.000)	Loss 0.1777 (0.1861)	Prec@1 87.500 (84.641)	Prec@3 100.000 (99.867)	
2025-01-20 21:03:05,461 Test: [47/60]	Model Time 0.046 (0.074)	Loss Time 0.000 (0.000)	Loss 0.1893 (0.1862)	Prec@1 84.375 (84.635)	Prec@3 100.000 (99.870)	
2025-01-20 21:03:05,514 Test: [48/60]	Model Time 0.044 (0.073)	Loss Time 0.000 (0.000)	Loss 0.1479 (0.1854)	Prec@1 90.625 (84.758)	Prec@3 100.000 (99.872)	
2025-01-20 21:03:05,562 Test: [49/60]	Model Time 0.038 (0.072)	Loss Time 0.000 (0.000)	Loss 0.1150 (0.1840)	Prec@1 93.750 (84.938)	Prec@3 100.000 (99.875)	
2025-01-20 21:03:05,616 Test: [50/60]	Model Time 0.044 (0.072)	Loss Time 0.000 (0.000)	Loss 0.1800 (0.1839)	Prec@1 78.125 (84.804)	Prec@3 100.000 (99.877)	
2025-01-20 21:03:05,666 Test: [51/60]	Model Time 0.041 (0.071)	Loss Time 0.000 (0.000)	Loss 0.1003 (0.1823)	Prec@1 96.875 (85.036)	Prec@3 100.000 (99.880)	
2025-01-20 21:03:05,720 Test: [52/60]	Model Time 0.045 (0.071)	Loss Time 0.000 (0.000)	Loss 0.3092 (0.1847)	Prec@1 75.000 (84.847)	Prec@3 100.000 (99.882)	
2025-01-20 21:03:05,769 Test: [53/60]	Model Time 0.038 (0.070)	Loss Time 0.000 (0.000)	Loss 0.2649 (0.1862)	Prec@1 81.250 (84.780)	Prec@3 100.000 (99.884)	
2025-01-20 21:03:05,826 Test: [54/60]	Model Time 0.047 (0.070)	Loss Time 0.000 (0.000)	Loss 0.1180 (0.1849)	Prec@1 90.625 (84.886)	Prec@3 100.000 (99.886)	
2025-01-20 21:03:05,890 Test: [55/60]	Model Time 0.054 (0.069)	Loss Time 0.000 (0.000)	Loss 0.1290 (0.1839)	Prec@1 96.875 (85.100)	Prec@3 100.000 (99.888)	
2025-01-20 21:03:05,943 Test: [56/60]	Model Time 0.042 (0.069)	Loss Time 0.000 (0.000)	Loss 0.3749 (0.1873)	Prec@1 81.250 (85.033)	Prec@3 96.875 (99.836)	
2025-01-20 21:03:05,996 Test: [57/60]	Model Time 0.044 (0.069)	Loss Time 0.000 (0.000)	Loss 0.2130 (0.1877)	Prec@1 84.375 (85.022)	Prec@3 96.875 (99.784)	
2025-01-20 21:03:06,046 Test: [58/60]	Model Time 0.040 (0.068)	Loss Time 0.000 (0.000)	Loss 0.1443 (0.1870)	Prec@1 90.625 (85.117)	Prec@3 100.000 (99.788)	
2025-01-20 21:03:06,211 Test: [59/60]	Model Time 0.160 (0.070)	Loss Time 0.000 (0.000)	Loss 0.3337 (0.1882)	Prec@1 86.667 (85.129)	Prec@3 100.000 (99.790)	
2025-01-20 21:03:06,218 Confusion Matrix:
[[454 154  34]
 [  8 604  40]
 [ 11  36 562]]
2025-01-20 21:03:06,223 Classification Report:
              precision    recall  f1-score   support

           0       0.96      0.71      0.81       642
           1       0.76      0.93      0.84       652
           2       0.88      0.92      0.90       609

    accuracy                           0.85      1903
   macro avg       0.87      0.85      0.85      1903
weighted avg       0.87      0.85      0.85      1903

2025-01-20 21:03:06,224 Saving checkpoint model to /home/artti/Desktop/finn_att/finn/deps/brevitas/src/brevitas_examples/bnn_pynq/experiments/SOYBEAN_CNV_8W8A_8W8A_20250120_210212/checkpoints/best.tar
2025-01-20 21:03:06,394 Epoch: [2][0/238]	Time 0.153 (0.153)	Data 0.008 (0.008)	Loss 0.2043 (0.2043)	Prec@1 75.000 (75.000)	Prec@3 100.000 (100.000)	
2025-01-20 21:03:07,988 Epoch: [2][10/238]	Time 0.158 (0.151)	Data 0.008 (0.008)	Loss 0.1834 (0.1938)	Prec@1 87.500 (81.250)	Prec@3 100.000 (100.000)	
2025-01-20 21:03:09,582 Epoch: [2][20/238]	Time 0.162 (0.151)	Data 0.008 (0.008)	Loss 0.1474 (0.1783)	Prec@1 87.500 (83.333)	Prec@3 100.000 (100.000)	
2025-01-20 21:03:12,576 Epoch: [2][30/238]	Time 0.153 (0.196)	Data 0.008 (0.008)	Loss 0.1269 (0.1655)	Prec@1 93.750 (85.938)	Prec@3 100.000 (100.000)	
2025-01-20 21:03:14,726 Epoch: [2][40/238]	Time 0.148 (0.199)	Data 0.008 (0.009)	Loss 0.2286 (0.1781)	Prec@1 78.125 (84.375)	Prec@3 100.000 (100.000)	
2025-01-20 21:03:16,360 Epoch: [2][50/238]	Time 0.160 (0.190)	Data 0.008 (0.008)	Loss 0.1431 (0.1723)	Prec@1 93.750 (85.938)	Prec@3 100.000 (100.000)	
2025-01-20 21:03:17,964 Epoch: [2][60/238]	Time 0.157 (0.184)	Data 0.008 (0.008)	Loss 0.1602 (0.1706)	Prec@1 87.500 (86.161)	Prec@3 100.000 (100.000)	
2025-01-20 21:03:19,077 Epoch: [2][70/238]	Time 0.105 (0.172)	Data 0.008 (0.008)	Loss 0.0558 (0.1562)	Prec@1 96.875 (87.500)	Prec@3 100.000 (100.000)	
2025-01-20 21:03:20,163 Epoch: [2][80/238]	Time 0.092 (0.164)	Data 0.008 (0.008)	Loss 0.2230 (0.1636)	Prec@1 84.375 (87.153)	Prec@3 96.875 (99.653)	
2025-01-20 21:03:21,192 Epoch: [2][90/238]	Time 0.092 (0.156)	Data 0.008 (0.008)	Loss 0.3017 (0.1774)	Prec@1 68.750 (85.312)	Prec@3 96.875 (99.375)	
2025-01-20 21:03:22,235 Epoch: [2][100/238]	Time 0.092 (0.150)	Data 0.008 (0.008)	Loss 0.1985 (0.1794)	Prec@1 81.250 (84.943)	Prec@3 100.000 (99.432)	
2025-01-20 21:03:23,293 Epoch: [2][110/238]	Time 0.095 (0.145)	Data 0.009 (0.008)	Loss 0.2167 (0.1825)	Prec@1 75.000 (84.115)	Prec@3 100.000 (99.479)	
2025-01-20 21:03:24,342 Epoch: [2][120/238]	Time 0.093 (0.141)	Data 0.008 (0.008)	Loss 0.2125 (0.1848)	Prec@1 81.250 (83.894)	Prec@3 100.000 (99.519)	
2025-01-20 21:03:25,399 Epoch: [2][130/238]	Time 0.097 (0.138)	Data 0.008 (0.008)	Loss 0.1570 (0.1828)	Prec@1 93.750 (84.598)	Prec@3 100.000 (99.554)	
2025-01-20 21:03:26,440 Epoch: [2][140/238]	Time 0.091 (0.135)	Data 0.009 (0.008)	Loss 0.2687 (0.1885)	Prec@1 78.125 (84.167)	Prec@3 96.875 (99.375)	
2025-01-20 21:03:27,526 Epoch: [2][150/238]	Time 0.106 (0.133)	Data 0.008 (0.008)	Loss 0.1685 (0.1873)	Prec@1 90.625 (84.570)	Prec@3 96.875 (99.219)	
2025-01-20 21:03:28,585 Epoch: [2][160/238]	Time 0.096 (0.130)	Data 0.008 (0.008)	Loss 0.1942 (0.1877)	Prec@1 84.375 (84.559)	Prec@3 100.000 (99.265)	
2025-01-20 21:03:29,652 Epoch: [2][170/238]	Time 0.092 (0.129)	Data 0.008 (0.008)	Loss 0.1530 (0.1857)	Prec@1 87.500 (84.722)	Prec@3 100.000 (99.306)	
2025-01-20 21:03:30,701 Epoch: [2][180/238]	Time 0.091 (0.127)	Data 0.009 (0.008)	Loss 0.2444 (0.1888)	Prec@1 81.250 (84.539)	Prec@3 100.000 (99.342)	
2025-01-20 21:03:31,805 Epoch: [2][190/238]	Time 0.095 (0.126)	Data 0.008 (0.008)	Loss 0.1643 (0.1876)	Prec@1 87.500 (84.688)	Prec@3 100.000 (99.375)	
2025-01-20 21:03:32,855 Epoch: [2][200/238]	Time 0.098 (0.124)	Data 0.008 (0.008)	Loss 0.2465 (0.1904)	Prec@1 78.125 (84.375)	Prec@3 100.000 (99.405)	
2025-01-20 21:03:33,902 Epoch: [2][210/238]	Time 0.092 (0.123)	Data 0.008 (0.008)	Loss 0.1572 (0.1889)	Prec@1 90.625 (84.659)	Prec@3 100.000 (99.432)	
2025-01-20 21:03:34,925 Epoch: [2][220/238]	Time 0.092 (0.121)	Data 0.008 (0.008)	Loss 0.1525 (0.1873)	Prec@1 84.375 (84.647)	Prec@3 100.000 (99.457)	
2025-01-20 21:03:35,956 Epoch: [2][230/238]	Time 0.097 (0.120)	Data 0.008 (0.008)	Loss 0.1499 (0.1858)	Prec@1 90.625 (84.896)	Prec@3 100.000 (99.479)	
2025-01-20 21:03:36,683 Epoch: [2][237/238]	Time 0.078 (0.120)	Data 0.007 (0.008)	Loss 0.2032 (0.1863)	Prec@1 80.769 (84.761)	Prec@3 100.000 (99.496)	
2025-01-20 21:03:36,739 Test: [0/60]	Model Time 0.045 (0.045)	Loss Time 0.000 (0.000)	Loss 0.1715 (0.1715)	Prec@1 84.375 (84.375)	Prec@3 100.000 (100.000)	
